Команда;игр;побед;проигрышей;ничьих;голов;голы минус голы соперника
Синие Птицы;1525;701;537;287;4966;487
Белые розы;1455;648;530;277;4897;399
Красные Маки;1448;515;680;253;4365;-560
Рыжие лисы;1426;537;617;272;4401;-218
Желтые Тюльпаны;1419;617;554;248;4624;270
Зеленые Береты;1396;518;628;250;4370;-363
Черные коты;494;214;213;67;1572;-29
Манчестер Юн;108;55;25;28;190;66
Челси;99;51;27;21;159;50
Манчестер С;96;68;21;7;215;122
Барселона;95;51;25;19;197;72
Интер Милан;94;56;17;21;205;96
Реал Сосьедад;93;29;35;29;112;-16
Бавария;91;71;10;10;492;401
Ювентус;91;53;19;19;196;86
Палмейрас СП;91;46;20;25;146;71
Ливерпуль;90;46;25;19;165;54
Арсенал;89;43;29;17;133;37
Байя;88;37;35;16;126;24
Боруссия Дортмунд;87;48;28;11;187;72
ПСЖ;87;52;26;9;176;97
Тоттенхэм;86;52;20;14;175;81
Рома;86;42;25;19;150;29
Вильярреал;85;46;19;20;141;60
Аль-Сахель;84;20;42;22;66;-52
Гранада;84;36;32;16;117;9
Милан;84;52;15;17;176;72
Ривер Плейт;84;34;30;20;120;19
Наполи;82;45;21;16;164;65
Краснодар;82;41;27;14;546;451
Форталеза;82;32;26;24;97;17
Аль-Ахли;82;33;32;17;99;0
Сеара;81;38;22;21;121;39
Парагвай (TSL);80;26;38;16;251;-53
ЦСКА;80;40;27;13;463;374
Сампайо Корреа;80;34;22;24;113;35
Севилья;78;48;16;14;114;41
Лацио;78;39;26;13;120;12
ЦСКА София;76;44;10;22;126;71
Динамо Загреб;76;48;14;14;143;81
ПАОК;75;37;16;22;115;48
Олимпиакос Пирей;75;51;13;11;141;89
Аль-Араби;75;28;25;22;101;-3
Славия Прага;74;53;6;15;159;108
Порту;74;48;13;13;141;78
Бенфика;74;42;15;17;144;68
Атлетико Гойяненсе;74;33;20;21;101;27
Слован Либерец;73;35;22;16;103;18
Црвена Звезда;73;59;4;10;179;139
Атлетико Мадрид;73;41;13;19;116;48
Реал Мадрид;73;46;13;14;120;63
Зенит С-Петербург;73;47;13;13;681;607
Локомотив М;73;42;18;13;450;381
Брага;72;41;17;14;129;53
Чили (TSL);72;32;27;13;210;4
Алагоано;72;26;20;26;89;24
Маккаби Тель-Авив;71;45;9;17;114;59
